     FECHATMAX TMIN  NOMBRE                    
  13052025  -12 ###  BASE BELGRANO II          
  13052025  3.5   1.6BASE CARLINI (EX JUBANY)  
  13052025  2.5 ###  BASE ESPERANZA            
  13052025  -12 ###  BASE MARAMBIO             
  13052025  5.6  -0.7BASE ORCADAS              
  13052025  0.7 ###  BASE SAN MARTIN           
  13052025 19.5   6.8BENITO JUAREZ             
  13052025 23.9    13BERNARDO DE IRIGOYEN AER  
  13052025 21.6   7.7BOLIVAR AERO              
  13052025 22.3  14.4BUENOS AIRES OBSERVATORI  
  13052025 22.9   7.1CAMPO DE MAYO AERO        
  13052025 29.6  10.4CATAMARCA AERO            
  13052025 27.8     8CERES AERO                
  13052025NA     10.5CHAMICAL AERO             
  13052025 13.5     1CHAPELCO AERO             
  13052025 25.4  12.7CHEPES                    
  13052025 24.9   9.3CHILECITO AERO            
  13052025 18.7  12.2COMODORO RIVADAVIA AERO   
  13052025 25.6    12CONCORDIA AERO            
  13052025 25.9   9.9CORDOBA AERO              
  13052025 27.2  12.2CORDOBA OBSERVATORIO      
  13052025   22   6.7CORONEL SUAREZ AERO       
  13052025 28.2  15.6CORRIENTES AERO           
  13052025 21.8  12.5DOLORES AERO              
  13052025   13   7.9EL BOLSON AERO            
  13052025 13.4  -1.6EL CALAFATE AERO          
  13052025 22.5     7EL PALOMAR AERO           
  13052025NA     10.5ESCUELA DE AVIACION MILI  
  13052025 13.6   6.7ESQUEL AERO               
  13052025 23.3  11.6EZEIZA AERO               
  13052025 29.5  15.4FORMOSA AERO              
  13052025 24.4  10.9GENERAL PICO AERO         
  13052025   13  -0.5GOBERNADOR GREGORES AERO  
  13052025 25.2  10.7GUALEGUAYCHU AERO         
  13052025 27.2  14.9IGUAZU AERO               
  13052025 27.5    14ITUZAINGO                 
  13052025 24.5     3JACHAL                    
  13052025 24.4  16.2JUJUY AERO                
  13052025 23.9  12.8JUJUY U N                 
  13052025 22.8     7JUNIN AERO                
  13052025 21.4   9.2LA PLATA AERO             
  13052025   22   0.1LA QUIACA OBSERVATORIO    
  13052025 26.9  10.2LA RIOJA AERO             
  13052025 24.2   9.4LABOULAYE AERO            
  13052025   22     9LAS FLORES                
  13052025 28.4  15.1LAS LOMITAS               
  13052025 22.6   4.3MALARGUE AERO             
  13052025 15.3  -3.4MAQUINCHAO                
  13052025 21.6  10.3MAR DEL PLATA AERO        
  13052025 25.3   9.4MARCOS JUAREZ AERO        
  13052025NA      8.5MARIANO MORENO AERO       
  13052025 22.8   9.4MENDOZA AERO              
  13052025NA      9.1MENDOZA OBSERVATORIO      
  13052025   27  13.6MERCEDES AERO (CTES)      
  13052025NA     10.2MERLO AERO                
  13052025 25.3  12.6METAN                     
  13052025 25.8  12.4MONTE CASEROS AERO        
  13052025 22.4   9.8MORON AERO                
  13052025 22.2   5.2NEUQUEN AERO              
  13052025 22.8   8.9NUEVE DE JULIO            
  13052025   26    14OBERA                     
